first_name,last_name,age,mobile_number,email,grade,full_name
mina,heinein,22,01145170391,mon@mon.com,A,mina heinein
mo,abdelaty,5,124,emai;,b,mo abdelaty
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
mina,heinein,22,01145170391,mon@mon.com,A,mina heinein
mo,abdelaty,5,124,emai;,b,mo abdelaty
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
abdo,heinein,22,01145170391,mon@mon.com,A,abdo heinein
mina,heinein,22,01145170391,mon@mon.com,A,mina heinein
mo,abdelaty,5,124,emai;,b,mo abdelaty
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
mina,heinein,22,01145170391,mon@mon.com,A,mina heinein
mo,abdelaty,5,124,emai;,b,mo abdelaty
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
mina,raafat,20,01145170391,mon@gmail.com,a,mina raafat
abdo,heinein,22,01145170391,mon@mon.com,A,abdo heinein
abdo,heinein,22,01145170391,mon@mon.com,A,abdo heinein
abdo,heinein,22,01145170391,mon@mon.com,A,abdo heinein
mina,raafat,20,1651230,mina,44,mina raafat
